sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
70056,PLAB88140,0,0,0,46.19,,
70057,PLAM80700,0,0,0,112.19,,
70078,432-0012-08-00,0,0,0,61137.23,,
70079,432-0012-04-00,0,0,0,72576.61,,
70095,101516,99,35,64,275.93,,
70096,33801,3,3,0,104.84,,
70097,33851,9,5,4,94.74,,
70098,101459,4,2,2,201.88,,
70099,101460,11,7,4,250.10,,
70100,101456,5,2,3,107.67,,
70101,101457,12,6,6,107.67,,
70103,101525,7,3,4,1095.70,,
70104,101526,6,2,4,299.23,,
70105,101520,6,3,3,106.18,,
70106,101521,0,0,0,130.88,,
70107,101522,0,0,0,130.88,,
70108,101532,0,0,0,107.91,,
70113,SCR-16-BW-BZ-10,0,0,0,318.99,,449.00
70114,SCR-16-UB-BZ-10,0,0,0,318.99,,449.00
70115,SCR-16-GW-BZ-10,1,0,1,318.99,,449.00
70116,SCR-16-BB-BZ-10,3,1,2,298.25,,449.00
70117,SCR-16-AG-BZ-10,0,0,0,318.99,,449.00
70118,SCR-16-CR-BZ-10,0,0,0,318.99,,449.00
70119,SCM-DL-CC,0,0,0,83.26,,116.00
70122,SCM-DL-GW,2,2,0,70.00,,98.00
70123,4160,2,2,0,17.24,,
70124,4161,21,8,13,17.24,,
70125,4162,26,7,19,17.24,,
70126,4163,12,8,4,17.24,,
70131,980960011,8,3,5,65.82,,
70132,010-C1157-00,0,0,0,262.49,,
70133,980960001,8,5,3,65.82,,
70139,010-12110-04,3,2,1,8.00,,
70141,010-11932-01,0,0,0,7.69,,
70142,TD9122,0,0,0,74.87,,
70144,CLIP-TWNDRP,0,0,0,116.42,,
70145,CA76313,0,0,0,14.58,,
70146,CA76312,50,25,25,10.00,,
70147,CA76311,0,0,0,14.58,,
70148,CA76310,0,0,0,10.00,,
70149,TR7,0,0,0,713.06,,
70150,"TR7 SSP",0,0,0,50.80,,
70151,TR5,3,0,3,492.57,,
70152,"TR5 SSP",2,2,0,43.97,,
70154,1030,36,20,16,11.86,,
70155,1031,26,10,16,11.86,,
70156,1032,23,11,12,11.86,,
70157,1033,31,19,12,22.53,,
70158,1034,0,0,0,22.53,,
70159,1035,24,12,12,22.53,,
70160,1036,28,13,15,22.53,,
70161,1052,27,14,13,9.76,,
70162,1055,0,0,0,9.76,,
70163,1169,60,36,24,19.22,,
70164,1170,51,24,27,19.22,,
70165,1171,36,20,16,19.22,,
70167,1173,0,0,0,19.22,,
70168,1150,5,5,0,15.93,,
70169,2310,0,0,0,17.69,,
70170,2311,1,1,0,8.46,,
70171,1151,25,17,8,15.93,,
70172,3150,0,0,0,25.01,,
70173,3174,0,0,0,9.86,,
70174,1152,12,0,12,15.93,,
70175,3207,0,0,0,24.29,,
70176,3462,1,1,0,6.92,,
70177,1160,33,20,13,10.32,,
70178,3856,1,1,0,27.14,,
70180,4220,0,0,0,6.15,,
70181,4376,0,0,0,113.57,,
70182,1161,28,11,17,8.99,,
70183,4547,0,0,0,4.17,,
70184,1162,38,21,17,10.32,,
70185,1140,51,31,20,8.01,,
70186,4611,0,0,0,22.14,,
70187,1141,32,24,8,8.01,,
70188,1142,23,19,4,8.01,,
70189,2185,4,4,0,5.42,,
70190,1063,7,7,0,18.11,,
70191,1064,25,14,11,41.36,,
70192,1065,30,14,16,69.79,,
70194,5347,1,1,0,25.38,,
70195,5953,0,0,0,44.29,,
70196,6915,1,0,1,31.43,,
70197,6980,0,0,0,58.04,,
70198,7037,1,0,1,16.92,,
70199,7068,0,0,0,26.34,,
70200,7278,0,0,0,22.86,,
70201,BP1020,0,0,0,4.37,,
70202,BP1055,0,0,0,5.52,,
70203,BP1129,0,0,0,33.76,,
70204,BP1130,0,0,0,24.43,,
70205,BP1346,0,0,0,4.94,,
70206,BP170,2,2,0,4.48,,
70208,BP228S,0,0,0,23.34,,
70209,BP255,0,0,0,8.74,,
70210,BP275S,0,0,0,32.69,,
70212,DRAIN,0,0,0,3.89,,
70213,FTR13201,3,3,0,57.03,,
70214,FTR13202,0,0,0,20.56,,
70215,FTR3301,3,0,3,23.43,,
70216,FTR3302,0,0,0,18.97,,
