available,category,desc1,desc2,itemnumber,manufacturer,mfgpnumber,msrp,price1,price2,price3,qty1,qty2,qty3,upc,weight,serialized,mapprice
"5","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR RM 2 LED LIGHT","W/RAIL MOUNT W/ REMOTE SWITCH","69450","Streamlight","69450","304","137.15","","","1","","","080926694507","0.550","NO",""
"5","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR RM 2 LED LIGHT","W/RAIL MOUNT C4 WHITE LED","69451","Streamlight","69451","252","114.45","","","1","","","080926694514","0.500","NO",""
"2","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR RM 2 LASER-G","LIGHT RAIL MOUNT/REMOTE SWITCH","69453","Streamlight","69453","573","258.95","","","1","","","080926694538","0.570","NO",""
"7","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR RM 2 LASER-G","LED LIGHT RAIL MOUNT BLACK","69454","Streamlight","69454","528","238.55","","","1","","","080926694545","0.495","NO",""
"0","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7X USB LIGHT","W/RAIL MOUNT C4 WHITE LED","69455","Streamlight","69455","265.65","119.95","","","1","","","080926694552","0.375","NO",""
"8","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7X USB LIGHT","W/RAIL MOUNT C4 WHITE LED FDE","69456","Streamlight","69456","278.25","126.95","","","1","","","080926694569","0.370","NO",""
"18","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7 HL-X USB","LIGHT W/RAIL MOUNT WHITE LED","69458","Streamlight","69458","295","134.95","","","1","","","080926694583","0.415","NO",""
"0","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7 HL-X USB FDE","LIGHT W/RAIL MOUNT WHITE LED","69459","Streamlight","69459","310","139.95","","","1","","","080926694590","0.420","NO",""
"11","HOLSTERS AND RELATED ITEMS","FOBUS MAG POUCH DOUBLE FOR","GLOCK 45/10MM PADDLE STYLE","6945GNDP","Fobus","6945GNDP","38.99","20.50","","","1","","","676315000297","0.340","NO",""
"0","HOLSTERS AND RELATED ITEMS","FOBUS MAG POUCH DOUBLE FOR","GLOCK 45/10MM ROTO PADDLE","6945GNDRP","Fobus","6945GNDRP","42.99","24.95","","","1","","","676315002772","0.380","NO",""
"6","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-9 FLEX LIGHT","W/RAIL MOUNT C4 WHITE LED","69464","Streamlight","69464","270","122.55","","","1","","","080926694644","0.450","NO",""
"0","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-10 FLEX WITH","RAIL MOUNT C4 LED W/LASER","69470","Streamlight","69470","432","195.95","","","1","","","080926694705","0.500","NO",""
"0","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-10 G FLEX WITH","RAIL MOUNT C4 LED W/GRN/LASER","69473","Streamlight","69473","533","241.85","","","1","","","080926694736","0.490","NO",""
"12","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7X SIG P320","X-CARRY CONTOUR REMOTE LED","69480","Streamlight","69480","280","125.75","","","1","","","080926694804","0.365","NO",""
"24","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-1 HL-X LED","TACTICAL LIGHT W/RAIL MOUNT","69500","Streamlight","69500","335","151.75","","","1","","","080926695009","0.500","NO",""
"1","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-1 HL-X USB","TACTICAL LIGHT W/RAIL MOUNT","69501","Streamlight","69501","360","162.25","","","1","","","080926695016","0.580","NO",""
"9","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7 HL-X SUB USB","W/RAIL MOUNT FOR GLOCK 43X/48","69503","Streamlight","69503","295","133.25","","","1","","","080926695030","0.370","NO",""
"0","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7 HL-X SUB USB","W/RAIL MOUNT SIG P365/XL","69504","Streamlight","69504","295","133.25","","","1","","","080926695047","0.375","NO",""
"0","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7 HL-X SUB USB","W/RAIL MOUNT 1913 SHORT MODELS","69505","Streamlight","69505","295","133.25","","","1","","","080926695054","0.380","NO",""
"0","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7 HL-X SUB USB","W/SA HELLCAT JAW MOUNTING KEY","69506","Streamlight","69506","295","133.25","","","1","","","080926695061","0.375","NO",""
"0","LIGHTS AND ACCESSORIES","STREAMLIGHT TL-RACKER MOSSBERG","500/590 12GA FORENDLIGHT COMBO","69600","Streamlight","69600","253","114.95","","","1","","","080926696006","0.820","NO",""
"8","LIGHTS AND ACCESSORIES","STREAMLIGHT TL-RACKER REMINGTN","870 12GA FOREND LIGHT COMBO","69601","Streamlight","69601","253","114.95","","","1","","","080926696013","1.050","NO",""
"4","LIGHTS AND ACCESSORIES","STREAMLIGHT TL-RACKER MOSSBERG","590 12GA SHOCKWAVE LIGHT COMBO","69602","Streamlight","69602","253","114.95","","","1","","","080926696020","1.000","NO",""
"2","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-1 HL LED LIGHT","W/RAIL MOUNT AND DUAL REMOTE","69889","Streamlight","69889","395","178.25","","","1","","","080926698895","0.600","NO",""
"0","MAGAZINES (REPLACEMENT)","WILSON FULL MOON CLIP 45ACP","6RD BLUED 5-PACK","69B5","Wilson Combat","65B5","5.95","4.95","","","1","","","874218002718","0.100","NO",""
"2","PARTS","WILSON TACTICAL THUMB SAFETY","1911 LEVER BLUED","6BN","Wilson Combat","6BN","32.95","26.25","","","1","","","874218002756","0.060","NO",""
"0","TARGETS AND TRAPS","AR-MOR 6"" AR500 STEEL GONG","3/8"" THICK STEEL ORANGE ROUND","6TGT375","Ar-mor","6TGT-375","23.34","17.39","","","1","","","766567477654","3.300","NO",""
"0","TARGETS AND TRAPS","AR-MOR 6"" AR500 STEEL GONG","1/2"" THICK STEEL ORANGE ROUND","6TGT500","Ar-mor","6TGT-500","27.29","20.12","","","1","","","766567477661","4.400","NO",""
"0","TARGETS AND TRAPS","AR-MOR 6"" MIL46100 STEEL GONG","7/16"" THICK STEEL ORANGE ROUND","6TGTM437","Ar-mor","6TGTM437","27.29","20.26","","","1","","","766567478446","3.700","NO",""
"0","CLOTHING","RED ROCK SHEMAGH HEAD WRAP","OD/BLACK","7000S","Red Rock Gear","70-00","8.99","4.05","","","1","","","846637004666","0.400","NO",""
