itemnumber,available,price1,price2,price3,qty1,qty2,qty3
0101800,7,"115.59","","","1","",""
0101820,1,"184.25","","","1","",""
0101830,0,"107.42","","","1","",""
0101890,0,"129.99","","","1","",""
0101940,1,"156.52","","","1","",""
0101970,5,"137.26","","","1","",""
0102030,0,"54.98","","","1","",""
0102060,0,"107.42","","","1","",""
01021,46,"12.60","","","1","",""
01022,2,"5.15","","","1","",""
01023,7,"5.15","","","1","",""
01050100,4,"18.69","","","1","",""
01050200,18,"25.70","","","1","",""
01050300,8,"48.53","","","1","",""
01050400,4,"79.92","","","1","",""
01059Z,0,"5.50","","","1","",""
01071,26,"1.11","","","1","",""
01072,2,"17.42","","","1","",""
01076,2,"17.42","","","1","",""
01179,23,"35.15","","","1","",""
01200200,17,"5.05","","","1","",""
01200215,8,"11.89","","","1","",""
01232,3,"9.29","","","1","",""
01235,6,"13.96","","","1","",""
01237,0,"4.97","","","1","",""
01250290,12,"25.11","","","1","",""
01250291,8,"18.69","","","1","",""
01250292,0,"12.31","","","1","",""
01250297,0,"5.95","","","1","",""
01261001149,5,"7.75","","","1","",""
012960SS,5,"78.95","","","1","",""
012961SS,2,"78.95","","","1","",""
012BA7FZ0,3,"37.63","","","1","",""
012BAR7Z0,2,"37.63","","","1","",""
012BAU7Z0,3,"37.63","","","1","",""
012TA7FZ0,2,"37.63","","","1","",""
012TAR7Z0,2,"37.63","","","1","",""
012TAU7Z0,3,"37.63","","","1","",""
013000018,6,"115.59","","","1","",""
013000037,2,"156.52","","","1","",""
013000038,10,"137.26","","","1","",""
013000039,0,"104.25","","","1","",""
013000052,3,"107.42","","","1","",""
013000053,1,"184.25","","","1","",""
013000054,5,"19.85","","","1","",""
013000076,7,"19.82","","","1","",""
013000186,3,"19.85","","","1","",""
013000193,0,"116.14","","","1","",""
01316RGN5640,2,"154.25","","","1","",""
01351021140,3,"9.25","","","1","",""
01351031141,6,"9.25","","","1","",""
01351041142,0,"9.25","","","1","",""
01351051143,24,"9.25","","","1","",""
01351061144,6,"9.25","","","1","",""
01351071145,0,"9.25","","","1","",""
01351081146,2,"9.25","","","1","",""
01351091147,8,"9.25","","","1","",""
01351101148,16,"9.25","","","1","",""
01380,9,"28.66","","","1","",""
01400006,11,"3.25","","","1","",""
01401,12,"28.66","","","1","",""
01401005,22,"3.12","","","1","",""
01401006,0,"12.82","","","1","",""
01401008,9,"9.50","","","1","",""
01401012,5,"13.09","","","1","",""
01401024,0,"19.00","","","1","",""
01401030,0,"19.31","","","1","",""
01401140,7,"10.70","","","1","",""
01401222,27,"3.20","","","1","",""
01401233,42,"4.65","","","1","",""
01401243,0,"16.00","","","1","",""
01401732,4,"6.53","","","1","",""
01407,4,"28.66","","","1","",""
01408,5,"28.66","","","1","",""
01413,3,"28.66","","","1","",""
01414,7,"28.66","","","1","",""
014PC02Z0,2,"65.31","","","1","",""
014PC8BZ0,3,"65.31","","","1","",""
014PC8JZ0,1,"65.31","","","1","",""
014PCE1Z0,1,"49.00","","","1","",""
014PCY8Z0,0,"61.43","","","1","",""
015079,5,"76.95","","","1","",""
015080,2,"76.95","","","1","",""
015081,1,"76.95","","","1","",""
01550552,0,"7.00","","","1","",""
01550661,0,"4.71","","","1","",""
01550667,50,"7.08","","","1","",""
01600105,4,"16.77","","","1","",""
01600123,9,"27.97","","","1","",""
01640,7,"40.13","","","1","",""
016TC34Z0,2,"77.48","","","1","",""
016TC36Z0,2,"77.48","","","1","",""
016TC44Z0,2,"77.48","","","1","",""
016TC47Z0,0,"77.48","","","1","",""
016TCV1Z0,2,"77.48","","","1","",""
0174500121110,4,"350.00","","","1","",""
017840,0,"79.29","","","1","",""
019387,1,"67.18","","","1","",""
019BA02Z0,3,"40.95","","","1","",""
019BA0JZ0,6,"32.56","","","1","",""
019BA0TZ0,1,"34.99","","","1","",""
019BA19Z0,1,"40.95","","","1","",""
019BA20Z0,2,"40.95","","","1","",""
019BA21Z0,3,"40.95","","","1","",""
019BA2AZ0,2,"40.95","","","1","",""
019BA37Z0,7,"40.95","","","1","",""
019BA3AZ0,3,"40.95","","","1","",""
019BA3FZ0,3,"29.95","","","1","",""
019BA3NZ0,2,"40.95","","","1","",""
019BA3QZ0,2,"40.40","","","1","",""
019BA7DZ0,2,"40.95","","","1","",""
019BA7FZ0,1,"40.95","","","1","",""
019BA8BZ0,2,"40.95","","","1","",""
019BA8JZ0,3,"40.95","","","1","",""
019BA9PZ0,2,"40.95","","","1","",""
019BAB2Z0,3,"40.95","","","1","",""
019BAB6Z0,2,"40.95","","","1","",""
019BAE1Z0,2,"40.95","","","1","",""
019BAE8Z0,0,"40.95","","","1","",""
019BAI3Z0,2,"40.95","","","1","",""
019BAP6Z0,1,"40.95","","","1","",""
019BAV5Z0,2,"40.95","","","1","",""
019BAX7Z0,2,"40.95","","","1","",""
019BAY1Z0,2,"40.95","","","1","",""
019BAY8Z0,0,"40.95","","","1","",""
019BB02Z0,2,"40.95","","","1","",""
019BB8JZ0,2,"40.95","","","1","",""
019BB9PZ0,4,"40.95","","","1","",""
019BBB6Z0,1,"40.95","","","1","",""
019TA02Z0,0,"40.95","","","1","",""
019TA0JZ0,1,"30.15","","","1","",""
019TA0TZ0,1,"33.00","","","1","",""
019TA19Z0,2,"40.95","","","1","",""
019TA20Z0,2,"40.95","","","1","",""
019TA21Z0,2,"40.95","","","1","",""
019TA37Z0,1,"40.95","","","1","",""
019TA3AZ0,2,"40.95","","","1","",""
019TA7DZ0,2,"40.95","","","1","",""
019TA8BZ0,1,"40.95","","","1","",""
019TA8JZ0,1,"40.95","","","1","",""
019TA9PZ0,6,"40.95","","","1","",""
019TAB6Z0,1,"40.95","","","1","",""
019TAE1Z0,1,"40.95","","","1","",""
019TAE8Z0,4,"40.95","","","1","",""
019TAI3Z0,2,"40.95","","","1","",""
019TAT1Z0,0,"40.95","","","1","",""
019TAV5Z0,2,"40.95","","","1","",""
019TAX7Z0,1,"35.95","","","1","",""
019TAY1Z0,1,"40.95","","","1","",""
019TAY8Z0,2,"40.95","","","1","",""
019TB8JZ0,0,"40.95","","","1","",""
019TB9PZ0,2,"40.95","","","1","",""
01DW,6,"34.82","","","1","",""
01GP45USS,0,"8.83","","","1","",""
01GP4USS,0,"8.83","","","1","",""
01GPESPSS,0,"14.27","","","1","",""
01GPFPIN,0,"59.15","","","1","",""
01GPTDISC,0,"12.87","","","1","",""
01MSPEC556NIBBC,0,"143.99","","","1","",""
01MSPEC556NITBC,0,"133.37","","","1","",""
01MSPEC556TINBC,0,"160.00","","","1","",""
01MSPEC762NIBBC,0,"187.19","","","1","",""
